article_uuid,SDG ID
0ab1d8b2-48a5-4319-8672-a9f1bdfdc24a,10
0ab1d8b2-48a5-4319-8672-a9f1bdfdc24a,1
0ab1d8b2-48a5-4319-8672-a9f1bdfdc24a,7
545238a6-011b-4f3d-ab32-5c14ba0ed5d6,12
545238a6-011b-4f3d-ab32-5c14ba0ed5d6,13
b67db862-90f1-4a56-86c6-fa2538d7adc3,12
b67db862-90f1-4a56-86c6-fa2538d7adc3,10
b67db862-90f1-4a56-86c6-fa2538d7adc3,13
675a1221-8dcd-4d0d-ad0e-b4a13ee93714,13
675a1221-8dcd-4d0d-ad0e-b4a13ee93714,7
675a1221-8dcd-4d0d-ad0e-b4a13ee93714,12
462188ad-61a8-495b-9d0a-9e05fd4b82ec,7
462188ad-61a8-495b-9d0a-9e05fd4b82ec,13
462188ad-61a8-495b-9d0a-9e05fd4b82ec,12
54759865-1e8c-4342-9072-dff697c2a8bf,13
9d5ce7a6-7623-4017-8d7d-98cccbf66635,1
9d5ce7a6-7623-4017-8d7d-98cccbf66635,10
5cfb06e0-eeb9-4e1c-9efc-6a6e009030ec,10
5cfb06e0-eeb9-4e1c-9efc-6a6e009030ec,13
8d2c64ea-eed4-4f93-98c4-a7973f1a37ce,12
f65f24d2-40c0-4cd3-b83d-da6686a4447a,11
f65f24d2-40c0-4cd3-b83d-da6686a4447a,12
ad99edfc-5ca1-45c6-a57b-8eccdf819625,12
ad99edfc-5ca1-45c6-a57b-8eccdf819625,13
1282ecd5-2a1d-46eb-834d-5f7c19e7ec0f,12
ffe3d0d8-cbf1-4fe4-a291-de3ff5cc69d5,12
ffe3d0d8-cbf1-4fe4-a291-de3ff5cc69d5,11
6377c86e-e80a-44f5-9517-1127fb1aa818,12
599d3973-73a6-496e-875a-c8633494f20c,12
599d3973-73a6-496e-875a-c8633494f20c,13
f23904f1-6bc5-47c2-b97c-c2f6fc30dbb0,3
f23904f1-6bc5-47c2-b97c-c2f6fc30dbb0,9
f23904f1-6bc5-47c2-b97c-c2f6fc30dbb0,17
4bc0e24a-bcbe-46a9-9637-a1a4c1ff8acb,11
4bc0e24a-bcbe-46a9-9637-a1a4c1ff8acb,9
4bc0e24a-bcbe-46a9-9637-a1a4c1ff8acb,13
ad1b1590-4485-4116-82ca-cf94e390e0f2,16
1353e5b7-5346-4ebd-9fa8-fed61cd36281,5
f1e4ae55-9da3-4788-9aa3-21f9e19b9ae4,3
f1e4ae55-9da3-4788-9aa3-21f9e19b9ae4,10
48a20e5c-e0d0-4dda-a80e-03624687e0e4,5
48a20e5c-e0d0-4dda-a80e-03624687e0e4,10
48a20e5c-e0d0-4dda-a80e-03624687e0e4,8
c9df0154-625c-4fac-9674-2f36c23fd96f,13
ed6cd156-bce9-4273-b574-ef27e7f50401,16
ed6cd156-bce9-4273-b574-ef27e7f50401,8
ed6cd156-bce9-4273-b574-ef27e7f50401,6
2dc4b68b-c754-42cd-9e4b-6f555ea22c2e,8
2dc4b68b-c754-42cd-9e4b-6f555ea22c2e,16
48bdf70e-04e5-4c04-928b-bce2d6861525,12
48bdf70e-04e5-4c04-928b-bce2d6861525,9
48bdf70e-04e5-4c04-928b-bce2d6861525,1
fef0fe85-92a8-4c33-80bd-0902860b98ab,8
fef0fe85-92a8-4c33-80bd-0902860b98ab,16
fef0fe85-92a8-4c33-80bd-0902860b98ab,9
7cc6a862-187e-43ec-98ff-697d7c7f7a19,3
8d278365-539d-429a-9f88-db54ef828e0c,3
43955d56-fd33-49f2-b216-e7f1d16716ff,12
6e5738a9-2998-4e71-872d-3ef86287607e,3
6e5738a9-2998-4e71-872d-3ef86287607e,4
5a8b995c-7862-420c-9222-f1ab22d2dd9b,8
5a8b995c-7862-420c-9222-f1ab22d2dd9b,10
2a9c9fed-68fc-4230-9277-ecf36741ec52,12
836a57ac-c588-4d6b-bb9f-b663edee5517,4
836a57ac-c588-4d6b-bb9f-b663edee5517,10
836a57ac-c588-4d6b-bb9f-b663edee5517,1
34d098a2-651c-4be7-81aa-a28252f79e6b,8
34d098a2-651c-4be7-81aa-a28252f79e6b,10
3e752c88-75f4-45b9-8a05-3e06bc855106,1
3e752c88-75f4-45b9-8a05-3e06bc855106,3
3e752c88-75f4-45b9-8a05-3e06bc855106,10
f6f9b97d-432e-4432-8592-30885ce60515,13
f6f9b97d-432e-4432-8592-30885ce60515,11
f6f9b97d-432e-4432-8592-30885ce60515,7
83e81f49-99bc-4f3c-bb9c-3b2570f527c9,8
83e81f49-99bc-4f3c-bb9c-3b2570f527c9,10
83e81f49-99bc-4f3c-bb9c-3b2570f527c9,5
e72f3323-c239-4ecf-a445-b7715f7124d6,16
1eb8d866-7677-4ad3-8238-9941ea42f236,10
1eb8d866-7677-4ad3-8238-9941ea42f236,1
23037cee-c76a-47bb-a82b-36e893f856f5,12
23037cee-c76a-47bb-a82b-36e893f856f5,9
fd50c7a8-c240-4ce7-90b6-ee54b17affb7,4
fd50c7a8-c240-4ce7-90b6-ee54b17affb7,3
fd50c7a8-c240-4ce7-90b6-ee54b17affb7,9
b5b7c7c3-b15d-4cdc-b333-2814ba5a7c5c,10
b5b7c7c3-b15d-4cdc-b333-2814ba5a7c5c,17
d9193681-5bce-4f7f-ae45-9301225823c5,17
d9193681-5bce-4f7f-ae45-9301225823c5,16
d9193681-5bce-4f7f-ae45-9301225823c5,10
807d50e4-411c-4eeb-8e89-2ae9c7fae4ce,17
f513d11f-0f86-4317-a687-87825c6409a8,17
a1f41ebd-cea6-4167-9340-83671bf6c1f7,8
94f6b2dc-b06c-41a4-8a20-2499a642759c,10
94f6b2dc-b06c-41a4-8a20-2499a642759c,3
94f6b2dc-b06c-41a4-8a20-2499a642759c,5
f67515a4-0bf3-4dba-ab03-e5e88b95c8e0,16
f67515a4-0bf3-4dba-ab03-e5e88b95c8e0,17
896c5a53-cca4-4e26-a852-0fc8c0744cdc,4
